column00,Unnamed: 0,TermName,StudentID,StudentDateOfBirth,StudentGender,Grade,Subject,Course,TestName,TestID,TestStartDate,TestStartTime,TestDurationMinutes,TestRITScore,TestStandardError,TestPercentile,AchievementQuintile,PercentCorrect,RapidGuessingPercentage,LexileScore,LexileMin,LexileMax,Goal1Name,Goal1RitScore,Goal1Adjective,Goal2Name,Goal2RitScore,Goal2Adjective,Goal3Name,Goal3RitScore,Goal3Adjective,Goal4Name,Goal4RitScore,Goal4Adjective,Goal5Name,Goal5RitScore,Goal5Adjective,TestStartDateTime,Year,ClassOf,Season
0,0,Fall 2019-2020,108812,2005-03-19,M,9,Language Arts,Language Usage,Growth: Language 2-12 CCSS 2010 V2,597613978,2019-10-08,10:58:08,50,224,3.0,68.0,HiAvg,51,0.0,,,,"Writing: Write, Revise Texts for Purpose and Audience",224,HiAvg,"Language: Understand, Edit for Grammar, Usage",227,HiAvg,"Language: Understand, Edit for Mechanics",222,HiAvg,,,,,,,2019-10-08 10:58:08,2019-2020,2023,Fall
3,3,Fall 2019-2020,114804,2003-09-18,F,11,Language Arts,Language Usage,Growth: Language 2-12 CCSS 2010 V2,597815418,2019-10-07,10:53:18,56,248,3.0,97.0,High,64,0.0,,,,"Writing: Write, Revise Texts for Purpose and Audience",257,High,"Language: Understand, Edit for Grammar, Usage",240,High,"Language: Understand, Edit for Mechanics",248,High,,,,,,,2019-10-07 10:53:18,2019-2020,2021,Fall
6,6,Fall 2019-2020,1200563,2003-09-06,F,10,Language Arts,Language Usage,Growth: Language 2-12 CCSS 2010 V2,597815684,2019-10-07,13:56:58,43,245,2.9,96.0,High,57,0.0,,,,"Writing: Write, Revise Texts for Purpose and Audience",248,High,"Language: Understand, Edit for Grammar, Usage",239,High,"Language: Understand, Edit for Mechanics",247,High,,,,,,,2019-10-07 13:56:58,2019-2020,2022,Fall
9,9,Fall 2019-2020,1205294,2005-05-05,M,9,Language Arts,Language Usage,Growth: Language 2-12 CCSS 2010 V2,597815679,2019-10-07,14:08:33,49,220,2.9,58.0,Avg,56,3.8462,,,,"Writing: Write, Revise Texts for Purpose and Audience",222,HiAvg,"Language: Understand, Edit for Grammar, Usage",220,Avg,"Language: Understand, Edit for Mechanics",219,Avg,,,,,,,2019-10-07 14:08:33,2019-2020,2023,Fall
12,12,Fall 2019-2020,1205333,2002-09-06,F,11,Language Arts,Language Usage,Growth: Language 2-12 CCSS 2010 V2,597815826,2019-10-07,10:52:35,46,231,2.9,76.0,HiAvg,54,0.0,,,,"Writing: Write, Revise Texts for Purpose and Audience",243,High,"Language: Understand, Edit for Grammar, Usage",222,Avg,"Language: Understand, Edit for Mechanics",228,HiAvg,,,,,,,2019-10-07 10:52:35,2019-2020,2021,Fall
15,15,Fall 2019-2020,1205598,2005-08-14,F,9,Language Arts,Language Usage,Growth: Language 2-12 CCSS 2010 V2,597016586,2019-10-07,14:08:27,84,224,2.9,68.0,HiAvg,50,0.0,,,,"Writing: Write, Revise Texts for Purpose and Audience",224,HiAvg,"Language: Understand, Edit for Grammar, Usage",223,HiAvg,"Language: Understand, Edit for Mechanics",224,HiAvg,,,,,,,2019-10-07 14:08:27,2019-2020,2023,Fall
18,18,Fall 2019-2020,1207256,2004-09-08,M,9,Language Arts,Language Usage,Growth: Language 2-12 CCSS 2010 V2,596903983,2019-10-08,10:57:52,84,247,3.0,97.0,High,64,0.0,,,,"Writing: Write, Revise Texts for Purpose and Audience",248,High,"Language: Understand, Edit for Grammar, Usage",247,High,"Language: Understand, Edit for Mechanics",245,High,,,,,,,2019-10-08 10:57:52,2019-2020,2023,Fall
21,21,Fall 2019-2020,1208804,2005-04-08,F,9,Language Arts,Language Usage,Growth: Language 2-12 CCSS 2010 V2,597614100,2019-10-08,10:57:59,35,236,2.9,89.0,High,49,0.0,,,,"Writing: Write, Revise Texts for Purpose and Audience",239,High,"Language: Understand, Edit for Grammar, Usage",237,High,"Language: Understand, Edit for Mechanics",231,High,,,,,,,2019-10-08 10:57:59,2019-2020,2023,Fall
24,24,Fall 2019-2020,1208807,2005-03-05,M,9,Language Arts,Language Usage,Growth: Language 2-12 CCSS 2010 V2,597614145,2019-10-08,10:57:51,34,228,2.9,77.0,HiAvg,48,1.9231,,,,"Writing: Write, Revise Texts for Purpose and Audience",228,HiAvg,"Language: Understand, Edit for Grammar, Usage",229,HiAvg,"Language: Understand, Edit for Mechanics",227,HiAvg,,,,,,,2019-10-08 10:57:51,2019-2020,2023,Fall
27,27,Fall 2019-2020,1208809,2004-12-24,M,9,Language Arts,Language Usage,Growth: Language 2-12 CCSS 2010 V2,597613916,2019-10-08,10:58:12,27,218,2.9,53.0,Avg,49,3.9216,,,,"Writing: Write, Revise Texts for Purpose and Audience",213,Avg,"Language: Understand, Edit for Grammar, Usage",223,HiAvg,"Language: Understand, Edit for Mechanics",219,Avg,,,,,,,2019-10-08 10:58:12,2019-2020,2023,Fall
30,30,Fall 2019-2020,1208817,2004-06-25,M,10,Language Arts,Language Usage,Growth: Language 2-12 CCSS 2010 V2,597613722,2019-10-08,09:02:14,39,230,2.9,77.0,HiAvg,55,3.7736,,,,"Writing: Write, Revise Texts for Purpose and Audience",231,HiAvg,"Language: Understand, Edit for Grammar, Usage",231,HiAvg,"Language: Understand, Edit for Mechanics",227,HiAvg,,,,,,,2019-10-08 09:02:14,2019-2020,2022,Fall
33,33,Fall 2019-2020,1208822,2003-10-26,F,10,Language Arts,Language Usage,Growth: Language 2-12 CCSS 2010 V2,597614199,2019-10-08,09:03:21,36,208,2.9,24.0,LoAvg,43,1.8868,,,,"Writing: Write, Revise Texts for Purpose and Audience",215,LoAvg,"Language: Understand, Edit for Grammar, Usage",202,Low,"Language: Understand, Edit for Mechanics",205,Low,,,,,,,2019-10-08 09:03:21,2019-2020,2022,Fall
36,36,Fall 2019-2020,1208826,2003-10-09,F,10,Language Arts,Language Usage,Growth: Language 2-12 CCSS 2010 V2,597815862,2019-10-07,13:56:58,40,232,2.9,81.0,High,48,0.0,,,,"Writing: Write, Revise Texts for Purpose and Audience",229,HiAvg,"Language: Understand, Edit for Grammar, Usage",238,High,"Language: Understand, Edit for Mechanics",228,HiAvg,,,,,,,2019-10-07 13:56:58,2019-2020,2022,Fall
39,39,Fall 2019-2020,1212710,2004-08-24,F,10,Language Arts,Language Usage,Growth: Language 2-12 CCSS 2010 V2,597614223,2019-10-08,09:01:26,37,242,2.9,94.0,High,57,0.0,,,,"Writing: Write, Revise Texts for Purpose and Audience",237,High,"Language: Understand, Edit for Grammar, Usage",238,High,"Language: Understand, Edit for Mechanics",250,High,,,,,,,2019-10-08 09:01:26,2019-2020,2022,Fall
42,42,Fall 2019-2020,1219248,2004-07-16,M,9,Language Arts,Language Usage,Growth: Language 2-12 CCSS 2010 V2,597614036,2019-10-08,10:58:07,35,220,3.0,58.0,Avg,49,0.0,,,,"Writing: Write, Revise Texts for Purpose and Audience",224,HiAvg,"Language: Understand, Edit for Grammar, Usage",216,Avg,"Language: Understand, Edit for Mechanics",220,Avg,,,,,,,2019-10-08 10:58:07,2019-2020,2023,Fall
45,45,Fall 2019-2020,1221844,2004-08-08,M,10,Language Arts,Language Usage,Growth: Language 2-12 CCSS 2010 V2,597614181,2019-10-08,09:03:22,42,241,2.9,93.0,High,57,0.0,,,,"Writing: Write, Revise Texts for Purpose and Audience",254,High,"Language: Understand, Edit for Grammar, Usage",237,High,"Language: Understand, Edit for Mechanics",230,HiAvg,,,,,,,2019-10-08 09:03:22,2019-2020,2022,Fall
48,48,Fall 2019-2020,1221847,2004-10-28,F,10,Language Arts,Language Usage,Growth: Language 2-12 CCSS 2010 V2,597815623,2019-10-07,13:57:35,23,229,2.9,75.0,HiAvg,54,0.0,,,,"Writing: Write, Revise Texts for Purpose and Audience",225,HiAvg,"Language: Understand, Edit for Grammar, Usage",219,Avg,"Language: Understand, Edit for Mechanics",242,High,,,,,,,2019-10-07 13:57:35,2019-2020,2022,Fall
51,51,Fall 2019-2020,1221848,2003-08-31,F,10,Language Arts,Language Usage,Growth: Language 2-12 CCSS 2010 V2,597613934,2019-10-08,09:02:18,34,222,2.9,58.0,Avg,49,1.8868,,,,"Writing: Write, Revise Texts for Purpose and Audience",221,Avg,"Language: Understand, Edit for Grammar, Usage",222,Avg,"Language: Understand, Edit for Mechanics",224,HiAvg,,,,,,,2019-10-08 09:02:18,2019-2020,2022,Fall
54,54,Fall 2019-2020,1230753,2003-02-28,F,11,Language Arts,Language Usage,Growth: Language 2-12 CCSS 2010 V2,597815610,2019-10-07,10:52:24,27,221,2.9,51.0,Avg,48,0.0,,,,"Writing: Write, Revise Texts for Purpose and Audience",224,Avg,"Language: Understand, Edit for Grammar, Usage",221,Avg,"Language: Understand, Edit for Mechanics",220,Avg,,,,,,,2019-10-07 10:52:24,2019-2020,2021,Fall
57,57,Fall 2019-2020,1233383,2005-05-09,F,9,Language Arts,Language Usage,Growth: Language 2-12 CCSS 2010 V2,597815489,2019-10-07,14:08:21,57,226,2.9,73.0,HiAvg,55,1.8868,,,,"Writing: Write, Revise Texts for Purpose and Audience",225,HiAvg,"Language: Understand, Edit for Grammar, Usage",220,Avg,"Language: Understand, Edit for Mechanics",232,High,,,,,,,2019-10-07 14:08:21,2019-2020,2023,Fall
60,60,Fall 2019-2020,1241717,2004-08-20,F,10,Language Arts,Language Usage,Growth: Language 2-12 CCSS 2010 V2,597815881,2019-10-07,13:56:53,47,221,2.9,56.0,Avg,51,0.0,,,,"Writing: Write, Revise Texts for Purpose and Audience",227,HiAvg,"Language: Understand, Edit for Grammar, Usage",224,HiAvg,"Language: Understand, Edit for Mechanics",211,LoAvg,,,,,,,2019-10-07 13:56:53,2019-2020,2022,Fall
63,63,Fall 2019-2020,1242387,2004-06-04,M,10,Language Arts,Language Usage,Growth: Language 2-12 CCSS 2010 V2,597815650,2019-10-07,13:56:53,19,218,2.9,48.0,Avg,53,9.434,,,,"Writing: Write, Revise Texts for Purpose and Audience",216,Avg,"Language: Understand, Edit for Grammar, Usage",223,HiAvg,"Language: Understand, Edit for Mechanics",215,LoAvg,,,,,,,2019-10-07 13:56:53,2019-2020,2022,Fall
66,66,Fall 2019-2020,1242392,2003-11-05,M,10,Language Arts,Language Usage,Growth: Language 2-12 CCSS 2010 V2,597613854,2019-10-08,09:01:21,23,189,2.9,2.0,Low,45,0.0,,,,"Writing: Write, Revise Texts for Purpose and Audience",186,Low,"Language: Understand, Edit for Grammar, Usage",198,Low,"Language: Understand, Edit for Mechanics",182,Low,,,,,,,2019-10-08 09:01:21,2019-2020,2022,Fall
69,69,Fall 2019-2020,1242394,2004-10-11,M,9,Language Arts,Language Usage,Growth: Language 2-12 CCSS 2010 V2,597815688,2019-10-07,14:12:56,42,218,3.0,53.0,Avg,49,0.0,,,,"Writing: Write, Revise Texts for Purpose and Audience",217,Avg,"Language: Understand, Edit for Grammar, Usage",221,HiAvg,"Language: Understand, Edit for Mechanics",215,Avg,,,,,,,2019-10-07 14:12:56,2019-2020,2023,Fall
72,72,Fall 2019-2020,1242556,2003-03-26,M,11,Language Arts,Language Usage,Growth: Language 2-12 CCSS 2010 V2,597815456,2019-10-07,10:52:14,61,237,2.9,86.0,High,47,0.0,,,,"Writing: Write, Revise Texts for Purpose and Audience",244,High,"Language: Understand, Edit for Grammar, Usage",239,High,"Language: Understand, Edit for Mechanics",229,HiAvg,,,,,,,2019-10-07 10:52:14,2019-2020,2021,Fall
75,75,Fall 2019-2020,1242563,2004-10-26,F,9,Language Arts,Language Usage,Growth: Language 2-12 CCSS 2010 V2,597815848,2019-10-07,14:08:24,60,228,2.9,77.0,HiAvg,52,0.0,,,,"Writing: Write, Revise Texts for Purpose and Audience",234,High,"Language: Understand, Edit for Grammar, Usage",224,HiAvg,"Language: Understand, Edit for Mechanics",226,HiAvg,,,,,,,2019-10-07 14:08:24,2019-2020,2023,Fall
