column00,Unnamed: 0,TermName,StudentID,StudentDateOfBirth,StudentGender,Grade,Subject,Course,TestName,TestID,TestStartDate,TestStartTime,TestDurationMinutes,TestRITScore,TestStandardError,TestPercentile,AchievementQuintile,PercentCorrect,RapidGuessingPercentage,LexileScore,LexileMin,LexileMax,Goal1Name,Goal1RitScore,Goal1Adjective,Goal2Name,Goal2RitScore,Goal2Adjective,Goal3Name,Goal3RitScore,Goal3Adjective,Goal4Name,Goal4RitScore,Goal4Adjective,Goal5Name,Goal5RitScore,Goal5Adjective,TestStartDateTime,Year,ClassOf,Season
1,1,Fall 2019-2020,108812,2005-03-19,M,9,Mathematics,Math K-12,Growth: Math 6+ CCSS 2010 V2,597016670,2019-10-07,12:58:42,83,237,3.0,70.0,HiAvg,50,0.0,,,,Operations and Algebraic Thinking,244,HiAvg,The Real and Complex Number Systems,238,HiAvg,Geometry,241,HiAvg,Statistics and Probability,227.0,Avg,,,,2019-10-07 12:58:42,2019-2020,2023,Fall
4,4,Fall 2019-2020,114804,2003-09-18,F,11,Mathematics,Math K-12,Growth: Math 6+ CCSS 2010 V2,596639585,2019-10-17,12:39:36,65,273,3.1,98.0,High,50,0.0,,,,Operations and Algebraic Thinking,267,High,The Real and Complex Number Systems,282,High,Geometry,275,High,Statistics and Probability,267.0,High,,,,2019-10-17 12:39:36,2019-2020,2021,Fall
7,7,Fall 2019-2020,1200563,2003-09-06,F,10,Mathematics,Math K-12,Growth: Math 6+ CCSS 2010 V2,596639554,2019-10-02,09:03:13,87,259,3.2,93.0,High,46,0.0,,,,Operations and Algebraic Thinking,252,High,The Real and Complex Number Systems,264,High,Geometry,270,High,Statistics and Probability,250.0,High,,,,2019-10-02 09:03:13,2019-2020,2022,Fall
10,10,Fall 2019-2020,1205294,2005-05-05,M,9,Mathematics,Math K-12,Growth: Math 6+ CCSS 2010 V2,597613785,2019-10-07,13:00:44,64,221,3.0,39.0,LoAvg,46,0.0,,,,Operations and Algebraic Thinking,222,Avg,The Real and Complex Number Systems,224,Avg,Geometry,216,LoAvg,Statistics and Probability,223.0,Avg,,,,2019-10-07 13:00:44,2019-2020,2023,Fall
13,13,Fall 2019-2020,1205333,2002-09-06,F,11,Mathematics,Math K-12,Growth: Math 6+ CCSS 2010 V2,599172836,2019-09-30,13:17:04,50,229,3.0,45.0,Avg,55,0.0,,,,Operations and Algebraic Thinking,244,HiAvg,The Real and Complex Number Systems,218,LoAvg,Geometry,229,Avg,Statistics and Probability,223.0,LoAvg,,,,2019-09-30 13:17:04,2019-2020,2021,Fall
16,16,Fall 2019-2020,1205598,2005-08-14,F,9,Mathematics,Math K-12,Growth: Math 6+ CCSS 2010 V2,596639549,2019-10-15,13:04:53,72,232,3.1,61.0,HiAvg,48,0.0,,,,Operations and Algebraic Thinking,237,HiAvg,The Real and Complex Number Systems,233,HiAvg,Geometry,229,Avg,Statistics and Probability,229.0,Avg,,,,2019-10-15 13:04:53,2019-2020,2023,Fall
19,19,Fall 2019-2020,1207256,2004-09-08,M,9,Mathematics,Math K-12,Growth: Math 6+ CCSS 2010 V2,596903988,2019-10-08,13:57:09,98,258,3.0,94.0,High,56,2.0,,,,Operations and Algebraic Thinking,262,High,The Real and Complex Number Systems,250,High,Geometry,260,High,Statistics and Probability,260.0,High,,,,2019-10-08 13:57:09,2019-2020,2023,Fall
22,22,Fall 2019-2020,1208804,2005-04-08,F,9,Mathematics,Math K-12,Growth: Math 6+ CCSS 2010 V2,597614064,2019-10-07,12:58:46,61,241,3.0,77.0,HiAvg,48,0.0,,,,Operations and Algebraic Thinking,251,High,The Real and Complex Number Systems,241,HiAvg,Geometry,239,HiAvg,Statistics and Probability,232.0,HiAvg,,,,2019-10-07 12:58:46,2019-2020,2023,Fall
25,25,Fall 2019-2020,1208807,2005-03-05,M,9,Mathematics,Math K-12,Growth: Math 6+ CCSS 2010 V2,597614050,2019-10-08,13:57:03,67,249,3.0,87.0,High,52,0.0,,,,Operations and Algebraic Thinking,254,High,The Real and Complex Number Systems,250,High,Geometry,245,High,Statistics and Probability,247.0,High,,,,2019-10-08 13:57:03,2019-2020,2023,Fall
28,28,Fall 2019-2020,1208809,2004-12-24,M,9,Mathematics,Math K-12,Growth: Math 6+ CCSS 2010 V2,597613772,2019-10-07,12:58:46,52,234,3.0,65.0,HiAvg,50,10.0,,,,Operations and Algebraic Thinking,239,HiAvg,The Real and Complex Number Systems,236,HiAvg,Geometry,239,HiAvg,Statistics and Probability,223.0,Avg,,,,2019-10-07 12:58:46,2019-2020,2023,Fall
31,31,Fall 2019-2020,1208817,2004-06-25,M,10,Mathematics,Math K-12,Growth: Math 6+ CCSS 2010 V2,597265939,2019-10-02,09:03:04,74,258,3.1,92.0,High,55,7.5472,,,,Operations and Algebraic Thinking,264,High,The Real and Complex Number Systems,238,HiAvg,Geometry,273,High,Statistics and Probability,257.0,High,,,,2019-10-02 09:03:04,2019-2020,2022,Fall
34,34,Fall 2019-2020,1208822,2003-10-26,F,10,Mathematics,Math K-12,Growth: Math 6+ CCSS 2010 V2,596904029,2019-10-15,08:58:24,41,211,2.9,19.0,Low,50,2.0,,,,Operations and Algebraic Thinking,207,Low,The Real and Complex Number Systems,206,Low,Geometry,207,Low,Statistics and Probability,222.0,LoAvg,,,,2019-10-15 08:58:24,2019-2020,2022,Fall
37,37,Fall 2019-2020,1208826,2003-10-09,F,10,Mathematics,Math K-12,Growth: Math 6+ CCSS 2010 V2,596639565,2019-10-07,09:11:48,63,247,2.9,81.0,High,54,0.0,,,,Operations and Algebraic Thinking,260,High,The Real and Complex Number Systems,244,HiAvg,Geometry,236,HiAvg,Statistics and Probability,243.0,HiAvg,,,,2019-10-07 09:11:48,2019-2020,2022,Fall
40,40,Fall 2019-2020,1212710,2004-08-24,F,10,Mathematics,Math K-12,Growth: Math 6+ CCSS 2010 V2,597815798,2019-10-07,09:11:52,57,244,2.9,77.0,HiAvg,52,0.0,,,,Operations and Algebraic Thinking,256,High,The Real and Complex Number Systems,245,HiAvg,Geometry,231,Avg,Statistics and Probability,245.0,HiAvg,,,,2019-10-07 09:11:52,2019-2020,2022,Fall
43,43,Fall 2019-2020,1219248,2004-07-16,M,9,Mathematics,Math K-12,Growth: Math 6+ CCSS 2010 V2,597613692,2019-10-07,12:58:49,49,231,2.9,59.0,Avg,54,0.0,,,,Operations and Algebraic Thinking,235,HiAvg,The Real and Complex Number Systems,231,Avg,Geometry,229,Avg,Statistics and Probability,230.0,Avg,,,,2019-10-07 12:58:49,2019-2020,2023,Fall
46,46,Fall 2019-2020,1221844,2004-08-08,M,10,Mathematics,Math K-12,Growth: Math 6+ CCSS 2010 V2,596903922,2019-10-15,09:00:22,47,272,3.1,98.0,High,60,0.0,,,,Operations and Algebraic Thinking,267,High,The Real and Complex Number Systems,280,High,Geometry,270,High,Statistics and Probability,269.0,High,,,,2019-10-15 09:00:22,2019-2020,2022,Fall
49,49,Fall 2019-2020,1221847,2004-10-28,F,10,Mathematics,Math K-12,Growth: Math 6+ CCSS 2010 V2,596639555,2019-10-07,09:11:48,71,236,3.0,63.0,HiAvg,50,0.0,,,,Operations and Algebraic Thinking,241,HiAvg,The Real and Complex Number Systems,231,Avg,Geometry,240,HiAvg,Statistics and Probability,231.0,Avg,,,,2019-10-07 09:11:48,2019-2020,2022,Fall
52,52,Fall 2019-2020,1221848,2003-08-31,F,10,Mathematics,Math K-12,Growth: Math 6+ CCSS 2010 V2,597815787,2019-10-07,09:11:44,50,218,3.0,29.0,LoAvg,52,0.0,,,,Operations and Algebraic Thinking,222,LoAvg,The Real and Complex Number Systems,217,LoAvg,Geometry,219,LoAvg,Statistics and Probability,215.0,LoAvg,,,,2019-10-07 09:11:44,2019-2020,2022,Fall
55,55,Fall 2019-2020,1230753,2003-02-28,F,11,Mathematics,Math K-12,Growth: Math 6+ CCSS 2010 V2,599172930,2019-09-30,13:17:20,57,250,2.9,81.0,High,51,0.0,,,,Operations and Algebraic Thinking,258,High,The Real and Complex Number Systems,246,HiAvg,Geometry,252,High,Statistics and Probability,245.0,HiAvg,,,,2019-09-30 13:17:20,2019-2020,2021,Fall
