column00,Unnamed: 0,TermName,StudentID,StudentDateOfBirth,StudentGender,Grade,Subject,Course,TestName,TestID,TestStartDate,TestStartTime,TestDurationMinutes,TestRITScore,TestStandardError,TestPercentile,AchievementQuintile,PercentCorrect,RapidGuessingPercentage,LexileScore,LexileMin,LexileMax,Goal1Name,Goal1RitScore,Goal1Adjective,Goal2Name,Goal2RitScore,Goal2Adjective,Goal3Name,Goal3RitScore,Goal3Adjective,Goal4Name,Goal4RitScore,Goal4Adjective,Goal5Name,Goal5RitScore,Goal5Adjective,TestStartDateTime,Year,ClassOf,Season
2,2,Fall 2019-2020,108812,2005-03-19,M,9,Language Arts,Reading,Growth: Reading 6+ CCSS 2010 V3,599173002,2019-10-01,10:52:49,74,233,3.4,77.0,HiAvg,56,0.0,1330.0,1230.0,1380.0,Literary Text: Key Ideas and Details,235,HiAvg,"Literary Text: Language, Craft, and Structure",230,HiAvg,Informational Text: Key Ideas and Details,236,HiAvg,"Informational Text: Language, Craft, and Structure",230.0,HiAvg,Vocabulary: Acquisition and Use,232.0,HiAvg,2019-10-01 10:52:49,2019-2020,2023,Fall
5,5,Fall 2019-2020,114804,2003-09-18,F,11,Language Arts,Reading,Growth: Reading 6+ CCSS 2010 V3,599417166,2019-09-30,10:55:30,70,250,3.5,93.0,High,63,0.0,1675.0,1575.0,1725.0,Literary Text: Key Ideas and Details,251,High,"Literary Text: Language, Craft, and Structure",244,High,Informational Text: Key Ideas and Details,248,High,"Informational Text: Language, Craft, and Structure",244.0,High,Vocabulary: Acquisition and Use,262.0,High,2019-09-30 10:55:30,2019-2020,2021,Fall
8,8,Fall 2019-2020,1200563,2003-09-06,F,10,Language Arts,Reading,Growth: Reading 6+ CCSS 2010 V3,599416751,2019-09-30,14:06:16,59,246,3.5,91.0,High,61,0.0,1595.0,1495.0,1645.0,Literary Text: Key Ideas and Details,247,High,"Literary Text: Language, Craft, and Structure",246,High,Informational Text: Key Ideas and Details,246,High,"Informational Text: Language, Craft, and Structure",254.0,High,Vocabulary: Acquisition and Use,238.0,HiAvg,2019-09-30 14:06:16,2019-2020,2022,Fall
11,11,Fall 2019-2020,1205294,2005-05-05,M,9,Language Arts,Reading,Growth: Reading 6+ CCSS 2010 V3,596763340,2019-09-30,15:01:51,43,219,3.2,50.0,Avg,48,5.0,1050.0,950.0,1100.0,Literary Text: Key Ideas and Details,214,LoAvg,"Literary Text: Language, Craft, and Structure",219,Avg,Informational Text: Key Ideas and Details,222,Avg,"Informational Text: Language, Craft, and Structure",220.0,Avg,Vocabulary: Acquisition and Use,220.0,Avg,2019-09-30 15:01:51,2019-2020,2023,Fall
14,14,Fall 2019-2020,1205333,2002-09-06,F,11,Language Arts,Reading,Growth: Reading 6+ CCSS 2010 V3,596903984,2019-09-30,10:55:10,79,238,3.4,79.0,HiAvg,55,0.0,1435.0,1335.0,1485.0,Literary Text: Key Ideas and Details,243,High,"Literary Text: Language, Craft, and Structure",233,HiAvg,Informational Text: Key Ideas and Details,233,HiAvg,"Informational Text: Language, Craft, and Structure",237.0,HiAvg,Vocabulary: Acquisition and Use,243.0,High,2019-09-30 10:55:10,2019-2020,2021,Fall
17,17,Fall 2019-2020,1205598,2005-08-14,F,9,Language Arts,Reading,Growth: Reading 6+ CCSS 2010 V3,596639514,2019-09-30,15:01:51,102,223,3.4,59.0,Avg,49,0.0,1130.0,1030.0,1180.0,Literary Text: Key Ideas and Details,217,Avg,"Literary Text: Language, Craft, and Structure",222,Avg,Informational Text: Key Ideas and Details,223,Avg,"Informational Text: Language, Craft, and Structure",231.0,HiAvg,Vocabulary: Acquisition and Use,222.0,Avg,2019-09-30 15:01:51,2019-2020,2023,Fall
20,20,Fall 2019-2020,1207256,2004-09-08,M,9,Language Arts,Reading,Growth: Reading 6+ CCSS 2010 V3,597016692,2019-10-01,10:54:18,94,236,3.5,82.0,High,59,0.0,1395.0,1295.0,1445.0,Literary Text: Key Ideas and Details,224,Avg,"Literary Text: Language, Craft, and Structure",227,HiAvg,Informational Text: Key Ideas and Details,247,High,"Informational Text: Language, Craft, and Structure",227.0,HiAvg,Vocabulary: Acquisition and Use,250.0,High,2019-10-01 10:54:18,2019-2020,2023,Fall
23,23,Fall 2019-2020,1208804,2005-04-08,F,9,Language Arts,Reading,Growth: Reading 6+ CCSS 2010 V3,599172886,2019-10-01,10:52:36,58,243,3.3,90.0,High,55,0.0,1535.0,1435.0,1585.0,Literary Text: Key Ideas and Details,247,High,"Literary Text: Language, Craft, and Structure",241,High,Informational Text: Key Ideas and Details,245,High,"Informational Text: Language, Craft, and Structure",233.0,HiAvg,Vocabulary: Acquisition and Use,250.0,High,2019-10-01 10:52:36,2019-2020,2023,Fall
26,26,Fall 2019-2020,1208807,2005-03-05,M,9,Language Arts,Reading,Growth: Reading 6+ CCSS 2010 V3,599172990,2019-10-01,10:52:42,50,223,3.3,59.0,Avg,53,0.0,1130.0,1030.0,1180.0,Literary Text: Key Ideas and Details,220,Avg,"Literary Text: Language, Craft, and Structure",217,Avg,Informational Text: Key Ideas and Details,221,Avg,"Informational Text: Language, Craft, and Structure",237.0,High,Vocabulary: Acquisition and Use,217.0,Avg,2019-10-01 10:52:42,2019-2020,2023,Fall
29,29,Fall 2019-2020,1208809,2004-12-24,M,9,Language Arts,Reading,Growth: Reading 6+ CCSS 2010 V3,599172724,2019-10-01,10:52:41,36,213,3.3,38.0,LoAvg,53,5.0,930.0,830.0,980.0,Literary Text: Key Ideas and Details,214,Avg,"Literary Text: Language, Craft, and Structure",212,LoAvg,Informational Text: Key Ideas and Details,217,Avg,"Informational Text: Language, Craft, and Structure",205.0,LoAvg,Vocabulary: Acquisition and Use,216.0,Avg,2019-10-01 10:52:41,2019-2020,2023,Fall
32,32,Fall 2019-2020,1208817,2004-06-25,M,10,Language Arts,Reading,Growth: Reading 6+ CCSS 2010 V3,596639518,2019-10-01,09:04:58,85,227,3.4,62.0,HiAvg,45,2.5,1210.0,1110.0,1260.0,Literary Text: Key Ideas and Details,235,HiAvg,"Literary Text: Language, Craft, and Structure",210,LoAvg,Informational Text: Key Ideas and Details,232,HiAvg,"Informational Text: Language, Craft, and Structure",229.0,HiAvg,Vocabulary: Acquisition and Use,231.0,HiAvg,2019-10-01 09:04:58,2019-2020,2022,Fall
35,35,Fall 2019-2020,1208822,2003-10-26,F,10,Language Arts,Reading,Growth: Reading 6+ CCSS 2010 V3,596903950,2019-10-15,09:41:42,38,207,3.3,21.0,LoAvg,51,0.0,805.0,705.0,855.0,Literary Text: Key Ideas and Details,203,Low,"Literary Text: Language, Craft, and Structure",210,LoAvg,Informational Text: Key Ideas and Details,200,Low,"Informational Text: Language, Craft, and Structure",203.0,Low,Vocabulary: Acquisition and Use,217.0,Avg,2019-10-15 09:41:42,2019-2020,2022,Fall
38,38,Fall 2019-2020,1208826,2003-10-09,F,10,Language Arts,Reading,Growth: Reading 6+ CCSS 2010 V3,599416737,2019-09-30,14:06:14,55,234,3.4,76.0,HiAvg,49,0.0,1350.0,1250.0,1400.0,Literary Text: Key Ideas and Details,229,HiAvg,"Literary Text: Language, Craft, and Structure",244,High,Informational Text: Key Ideas and Details,240,High,"Informational Text: Language, Craft, and Structure",229.0,HiAvg,Vocabulary: Acquisition and Use,229.0,HiAvg,2019-09-30 14:06:14,2019-2020,2022,Fall
41,41,Fall 2019-2020,1212710,2004-08-24,F,10,Language Arts,Reading,Growth: Reading 6+ CCSS 2010 V3,599172674,2019-10-01,09:04:56,61,246,3.3,91.0,High,58,0.0,1595.0,1495.0,1645.0,Literary Text: Key Ideas and Details,245,High,"Literary Text: Language, Craft, and Structure",243,High,Informational Text: Key Ideas and Details,249,High,"Informational Text: Language, Craft, and Structure",248.0,High,Vocabulary: Acquisition and Use,242.0,High,2019-10-01 09:04:56,2019-2020,2022,Fall
44,44,Fall 2019-2020,1219248,2004-07-16,M,9,Language Arts,Reading,Growth: Reading 6+ CCSS 2010 V3,599173115,2019-10-01,10:52:44,49,222,3.4,56.0,Avg,49,0.0,1110.0,1010.0,1160.0,Literary Text: Key Ideas and Details,227,HiAvg,"Literary Text: Language, Craft, and Structure",210,LoAvg,Informational Text: Key Ideas and Details,229,HiAvg,"Informational Text: Language, Craft, and Structure",221.0,Avg,Vocabulary: Acquisition and Use,224.0,Avg,2019-10-01 10:52:44,2019-2020,2023,Fall
47,47,Fall 2019-2020,1221844,2004-08-08,M,10,Language Arts,Reading,Growth: Reading 6+ CCSS 2010 V3,596903999,2019-10-15,09:49:15,44,245,3.3,91.0,High,53,0.0,1575.0,1475.0,1625.0,Literary Text: Key Ideas and Details,238,High,"Literary Text: Language, Craft, and Structure",264,High,Informational Text: Key Ideas and Details,249,High,"Informational Text: Language, Craft, and Structure",234.0,HiAvg,Vocabulary: Acquisition and Use,240.0,High,2019-10-15 09:49:15,2019-2020,2022,Fall
50,50,Fall 2019-2020,1221847,2004-10-28,F,10,Language Arts,Reading,Growth: Reading 6+ CCSS 2010 V3,599416739,2019-09-30,14:06:22,50,233,3.4,74.0,HiAvg,55,0.0,1330.0,1230.0,1380.0,Literary Text: Key Ideas and Details,228,HiAvg,"Literary Text: Language, Craft, and Structure",231,HiAvg,Informational Text: Key Ideas and Details,233,HiAvg,"Informational Text: Language, Craft, and Structure",235.0,HiAvg,Vocabulary: Acquisition and Use,236.0,HiAvg,2019-09-30 14:06:22,2019-2020,2022,Fall
53,53,Fall 2019-2020,1221848,2003-08-31,F,10,Language Arts,Reading,Growth: Reading 6+ CCSS 2010 V3,599172561,2019-10-01,09:04:52,56,218,3.4,42.0,Avg,48,0.0,1030.0,930.0,1080.0,Literary Text: Key Ideas and Details,229,HiAvg,"Literary Text: Language, Craft, and Structure",226,Avg,Informational Text: Key Ideas and Details,218,Avg,"Informational Text: Language, Craft, and Structure",207.0,LoAvg,Vocabulary: Acquisition and Use,211.0,LoAvg,2019-10-01 09:04:52,2019-2020,2022,Fall
56,56,Fall 2019-2020,1230753,2003-02-28,F,11,Language Arts,Reading,Growth: Reading 6+ CCSS 2010 V3,599417138,2019-09-30,10:55:05,57,227,3.4,58.0,Avg,53,0.0,1210.0,1110.0,1260.0,Literary Text: Key Ideas and Details,214,LoAvg,"Literary Text: Language, Craft, and Structure",239,HiAvg,Informational Text: Key Ideas and Details,222,Avg,"Informational Text: Language, Craft, and Structure",222.0,Avg,Vocabulary: Acquisition and Use,244.0,High,2019-09-30 10:55:05,2019-2020,2021,Fall
59,59,Fall 2019-2020,1233383,2005-05-09,F,9,Language Arts,Reading,Growth: Reading 6+ CCSS 2010 V3,596763472,2019-09-30,15:01:43,50,224,3.3,61.0,HiAvg,53,0.0,1150.0,1050.0,1200.0,Literary Text: Key Ideas and Details,229,HiAvg,"Literary Text: Language, Craft, and Structure",230,HiAvg,Informational Text: Key Ideas and Details,215,Avg,"Informational Text: Language, Craft, and Structure",229.0,HiAvg,Vocabulary: Acquisition and Use,216.0,Avg,2019-09-30 15:01:43,2019-2020,2023,Fall
62,62,Fall 2019-2020,1241717,2004-08-20,F,10,Language Arts,Reading,Growth: Reading 6+ CCSS 2010 V3,599417195,2019-09-30,14:06:34,79,226,3.3,60.0,Avg,55,0.0,1190.0,1090.0,1240.0,Literary Text: Key Ideas and Details,242,High,"Literary Text: Language, Craft, and Structure",223,Avg,Informational Text: Key Ideas and Details,223,Avg,"Informational Text: Language, Craft, and Structure",224.0,Avg,Vocabulary: Acquisition and Use,222.0,Avg,2019-09-30 14:06:34,2019-2020,2022,Fall
65,65,Fall 2019-2020,1242387,2004-06-04,M,10,Language Arts,Reading,Growth: Reading 6+ CCSS 2010 V3,599416808,2019-09-30,14:06:10,19,214,3.3,34.0,LoAvg,53,0.0,950.0,850.0,1000.0,Literary Text: Key Ideas and Details,210,LoAvg,"Literary Text: Language, Craft, and Structure",215,LoAvg,Informational Text: Key Ideas and Details,216,LoAvg,"Informational Text: Language, Craft, and Structure",214.0,LoAvg,Vocabulary: Acquisition and Use,217.0,Avg,2019-09-30 14:06:10,2019-2020,2022,Fall
68,68,Fall 2019-2020,1242392,2003-11-05,M,10,Language Arts,Reading,Growth: Reading 6+ CCSS 2010 V3,599172597,2019-10-01,09:06:38,33,200,3.3,12.0,Low,48,0.0,665.0,565.0,715.0,Literary Text: Key Ideas and Details,198,Low,"Literary Text: Language, Craft, and Structure",205,Low,Informational Text: Key Ideas and Details,190,Low,"Informational Text: Language, Craft, and Structure",205.0,Low,Vocabulary: Acquisition and Use,202.0,Low,2019-10-01 09:06:38,2019-2020,2022,Fall
71,71,Fall 2019-2020,1242394,2004-10-11,M,9,Language Arts,Reading,Growth: Reading 6+ CCSS 2010 V3,596763405,2019-09-30,15:01:36,49,235,3.4,80.0,HiAvg,53,0.0,1375.0,1275.0,1425.0,Literary Text: Key Ideas and Details,245,High,"Literary Text: Language, Craft, and Structure",238,High,Informational Text: Key Ideas and Details,226,HiAvg,"Informational Text: Language, Craft, and Structure",239.0,High,Vocabulary: Acquisition and Use,226.0,HiAvg,2019-09-30 15:01:36,2019-2020,2023,Fall
74,74,Fall 2019-2020,1242556,2003-03-26,M,11,Language Arts,Reading,Growth: Reading 6+ CCSS 2010 V3,596903894,2019-09-30,10:55:09,121,239,3.5,81.0,High,57,0.0,1455.0,1355.0,1505.0,Literary Text: Key Ideas and Details,233,HiAvg,"Literary Text: Language, Craft, and Structure",236,HiAvg,Informational Text: Key Ideas and Details,237,HiAvg,"Informational Text: Language, Craft, and Structure",247.0,High,Vocabulary: Acquisition and Use,242.0,High,2019-09-30 10:55:09,2019-2020,2021,Fall
77,77,Fall 2019-2020,1242563,2004-10-26,F,9,Language Arts,Reading,Growth: Reading 6+ CCSS 2010 V3,596763360,2019-09-30,15:01:42,99,237,3.4,83.0,High,48,0.0,1415.0,1315.0,1465.0,Literary Text: Key Ideas and Details,240,High,"Literary Text: Language, Craft, and Structure",237,High,Informational Text: Key Ideas and Details,244,High,"Informational Text: Language, Craft, and Structure",230.0,HiAvg,Vocabulary: Acquisition and Use,234.0,HiAvg,2019-09-30 15:01:42,2019-2020,2023,Fall
80,80,Fall 2019-2020,1242566,2004-11-17,M,9,Language Arts,Reading,Growth: Reading 6+ CCSS 2010 V3,596763422,2019-10-01,10:52:43,111,238,3.3,84.0,High,53,0.0,1435.0,1335.0,1485.0,Literary Text: Key Ideas and Details,234,HiAvg,"Literary Text: Language, Craft, and Structure",249,High,Informational Text: Key Ideas and Details,249,High,"Informational Text: Language, Craft, and Structure",232.0,HiAvg,Vocabulary: Acquisition and Use,225.0,HiAvg,2019-10-01 10:52:43,2019-2020,2023,Fall
83,83,Fall 2019-2020,1242568,2004-11-17,M,9,Language Arts,Reading,Growth: Reading 6+ CCSS 2010 V3,596763372,2019-09-30,15:01:54,67,233,3.4,77.0,HiAvg,54,0.0,1330.0,1230.0,1380.0,Literary Text: Key Ideas and Details,237,High,"Literary Text: Language, Craft, and Structure",227,HiAvg,Informational Text: Key Ideas and Details,231,HiAvg,"Informational Text: Language, Craft, and Structure",239.0,High,Vocabulary: Acquisition and Use,232.0,HiAvg,2019-09-30 15:01:54,2019-2020,2023,Fall
86,86,Fall 2019-2020,124450,2005-05-12,M,9,Language Arts,Reading,Growth: Reading 6+ CCSS 2010 V3,596763418,2019-09-30,15:01:40,75,246,3.5,92.0,High,59,0.0,1595.0,1495.0,1645.0,Literary Text: Key Ideas and Details,242,High,"Literary Text: Language, Craft, and Structure",241,High,Informational Text: Key Ideas and Details,239,High,"Informational Text: Language, Craft, and Structure",246.0,High,Vocabulary: Acquisition and Use,267.0,High,2019-09-30 15:01:40,2019-2020,2023,Fall
